"","","preds"
"148","Interaction - talked with Max haul truck driver that said the wheel chocks on the yellow trucks stick out perhaps too far if the driver / operator is not cautious in turning the corner to the cons load out. The red truck if placed proper in the holder most likely doesn't hit the wall, but if put in in the wrong way it can hit the wall.","__label__SHOULDER 0.218528 __label__BACK 0.162243 __label__UNKNOWN 0.0575952"
"149","Interaction - Driving to warehouse to get parts the maintenance worker didn't see or know there was construction activity in the area and was traveling at a high rate of speed, then found a path around the concrete truck and workers while reacting to congestion in the area.","__label__MULTIPLE 0.210021 __label__UNKNOWN 0.120426 __label__BACK 0.110456"
"150","Audit - A road inspection, at 0.8 mile A road there is a lot of water running in the ditch. It has eroded below the ditch line about a foot, and started eroding into the shoulder of the road.","__label__SHOULDER 0.36894 __label__UNKNOWN 0.231243 __label__MULTIPLE 0.193756"
"151","Interaction - Talked to owner of two locks on boxes in mill while working. Isolation standard says workers will only have one lock and isolate only the piece of equipment they are working on. The standard does not permit more than one lock except for mobile maintenance.","__label__UNKNOWN 0.561665 __label__BODY 0.0811054 __label__BACK 0.037794"
"152","Interaction - Talked to worker about ensuring he has his name identifying him as the lock owner when lock is applied to box.","__label__MULTIPLE 0.263481 __label__BACK 0.124802 __label__CHEST 0.124589"
"153","Interaction - Spoke to electrician about getting box at warehouse labled properly as well as checking the disconnect for a possible abandoned circuit at the bottle lift station.","__label__MULTIPLE 0.290875 __label__UNKNOWN 0.135251 __label__CHEST 0.0886939"
"154","Audit - MIll worker had lock placed on lockout box, but the lock did not contain the name of the worker. The worker was narrowed down based on the names of the locks and tag with owners name on the box.","__label__MULTIPLE 0.155626 __label__FINGER 0.0936586 __label__BACK 0.0921168"
"155","Audit - Checked boxes on mill down day for proper isolation of motors. According to Standard each worker will have only one lock, except for mobile maintenance. There are two boxes in the MCC that have a lock with one individuals lock on both.","__label__UNKNOWN 0.25299 __label__MULTIPLE 0.14328 __label__BACK 0.104538"
"156","Audit - A disconnect in the warehouse was labeled future that also said bottle rack. The warehouse supervisor said the bottle rack is no longer in service. SO panel is labeled ""FUTURE"" not spare, and the switch is not isolated. So the switch could be an abandoned circuit.","__label__UNKNOWN 0.920118 __label__MULTIPLE 0.021112 __label__BACK 0.0134672"
"157","Audit - Two disconnects in the back of the warehouse were found to be labled odd. One said spare on the panel and the switch was locked out, but not the box. The Hecla standard says ""Spares will be identified with a green tag marked spare. Not a lable on the box with a spare tag.","__label__UNKNOWN 0.652155 __label__BACK 0.110703 __label__MULTIPLE 0.0360624"
"158","Audit - A road inspection. Brush under guard rail needs cutting in places.","__label__HEAD 0.162057 __label__CHEST 0.124338 __label__EAR 0.0998088"
"159","Audit - the lift station project is not completed. Overall the site looks reasonable though the access could be questioned by MSHA. Spoke with project manager about improving access (it's always been somewhat of an issue because it's a smooth liner on a slope) as part of the project.","__label__UNKNOWN 0.294235 __label__MULTIPLE 0.107791 __label__SHOULDER 0.0596469"
"160","Audit - inspected A road rock cuts for loose material. Nothing major noted though the cut at 3.4 that was scaled previously appears to be starting to unravel. it is not a risk to traffic as this area of the cut is set back away from the road.","__label__UNKNOWN 0.37724 __label__BACK 0.158455 __label__MULTIPLE 0.0921536"
"161","Audit - looked through facilities at Young Bay. No compliance issues found. Bottom of boat access ramp needs rebuild - engineers are aware.","__label__UNKNOWN 0.422936 __label__MULTIPLE 0.0832637 __label__BODY 0.0613"
"162","Audit- A road, daily inspection","__label__UNKNOWN 0.996956 __label__MULTIPLE 0.000946833 __label__BACK 0.000397344"
"163","Audit - Checked GFI's on outdoor outlets, checked outlets in Sample room at HI and checked outlets around area. Finding burned outlet in sample room, no breaker trip. Found dead outlet outside SE side of truck wash no power, but breaker on. Tested outdorr outlets with GFI tester at Powerhouse, one outlet was GFI'd with the GFI tripped. The other two outlets were not GFI protected. THe batchroom at the HI warehouse has no GFI protection and the Building maintenance shop may be mislabeled at the panel. Will check with electrician.","__label__UNKNOWN 0.53619 __label__MULTIPLE 0.121515 __label__BODY 0.114566"
"164","Audit - Inspected cranes in maintenance shops for folded suspended cords. There are two cranes in the new mill maintenance as well as tire shop where cords hang down and can come into contact with objects that may create a falling object, or damage the cord and expose conductors.","__label__UNKNOWN 0.255186 __label__MULTIPLE 0.202496 __label__BACK 0.065947"
"165","Interaction - Truck driver had talked to me about rocks shooting from tires, and that there was concern of construction workers paying attention to all aspects of trucks in the work area.","__label__MULTIPLE 0.236942 __label__KNEE 0.136757 __label__BACK 0.0848338"
"166","Interaction - compressed gas cylinder valve was not covered after workers had left the area.","__label__UNKNOWN 0.267572 __label__MULTIPLE 0.18047 __label__BODY 0.157881"
"167","Interaction - Oxygen and Acetylene bottles had caps on the valve covers, but the bottles were both open and hoses not bled off. There were no workers in the area when the instance was found.","__label__UNKNOWN 0.383295 __label__MULTIPLE 0.0728557 __label__BODY 0.051996"
"168","Interaction -","__label__UNKNOWN 0.817545 __label__MULTIPLE 0.128663 __label__BACK 0.0304972"
"169","Interaction-","__label__UNKNOWN 0.990498 __label__MULTIPLE 0.00833716 __label__BACK 0.00113108"
"170","Interaction @ 860 core shed - Intern logging core not wearing steel toe boots.","__label__TOE 0.800624 __label__FOOT 0.130708 __label__FINGER 0.0329495"
"171","Interaction - Lonnie Lorrie was resetting the sprinkler system in the warehouse. Discussed operation of diverter valve when water pressure exceeds air pressure","__label__EYE 0.345871 __label__UNKNOWN 0.239387 __label__MULTIPLE 0.0962939"
"172","Audit - Paste plant","__label__UNKNOWN 0.754276 __label__MULTIPLE 0.0835287 __label__BACK 0.0810045"
"173","Audit - Underground shop.","__label__UNKNOWN 0.627716 __label__BODY 0.160178 __label__MULTIPLE 0.143102"
"174","Interaction / observation - Noticed workers cleaning up used oil pads after finding a hydraulic leak on DZ-15. The workers found the leak once they loaded the dozer on the low boy to transport it to the shop to have it fixed.","__label__UNKNOWN 0.548588 __label__BACK 0.0594773 __label__HEAD 0.049475"
"175","Interaction - Conversed with Surface shifter about two different speed limit signs from the pond 23 to the 860 area. Shifter investigated and found that there is a 10 MPH sign in the same area. On investigation the shifter found the sign was put out for the concrete plant when the plant is being used.","__label__UNKNOWN 0.734403 __label__BODY 0.0807232 __label__MULTIPLE 0.047858"
"176","Interaction - Talked to Mark Petrie about fixing fuel tanks after talking to FM global About where fuel shut off valves should be located on tanks. Our tanks are often at heat source for easy access to fuel valves. MSHA standard and FM global would like to see the fuel shut off valve at the source on fuel supply.","__label__UNKNOWN 0.357544 __label__BODY 0.325578 __label__MULTIPLE 0.0927246"
"177","Audit - Inspected A road, power pole at 0.9 mile A road is leaning down hill.","__label__UNKNOWN 0.665273 __label__MULTIPLE 0.0766526 __label__HEAD 0.0538635"
"178","Audit - Inspected A road","__label__MULTIPLE 0.408301 __label__UNKNOWN 0.237997 __label__BACK 0.110605"
"179","Interaction - Found Zach Oldaker cleaning up a hydraulic oil spill that was left behind by either a dozer or haul truck. Ernie Hard and I helped Zach clean up the spill and rid of oily diapers.","__label__MULTIPLE 0.370684 __label__UNKNOWN 0.153873 __label__HEAD 0.0783722"
"180","Interaction - Walked tails pile in area to check gas levels that had been reported to see if the source of the gas could be located. Checked last cuts of tails pile, check sumps, checked water treatment plant to see if the source could also be found there.","__label__UNKNOWN 0.790109 __label__MULTIPLE 0.0583849 __label__BODY 0.0453346"
"181","Interaction - Access to electrical panel was blocked by lights that were hung in front of the panel.","__label__BODY 0.56634 __label__UNKNOWN 0.339061 __label__MULTIPLE 0.0364301"
"182","Interaction - Found nitrogen compressed gas cylinder in container with no cap on it.","__label__UNKNOWN 0.906597 __label__EYE 0.0150254 __label__BODY 0.0141906"
"183","Audit - done on the following equipment: DZ 21 Ore Pad - Rops sticker right side window LR - 61 found Rops outside rt hand door knee high LR - 54 Bobcat Skid steer could not find ROPS info. LR - 59 ROPS sticker on RT. door knee high LR - 71 Volvo Could not find GR 18 Plate inside cab BT 431 Inside Cab behind seat - plate TR 77 Sticker All Kubota tractors had ROPS Stickers","__label__UNKNOWN 0.645007 __label__KNEE 0.252906 __label__MULTIPLE 0.0771728"
"184","Audit - PPE use of employees entering/leaving portal. Very few missing","__label__FINGER 0.220521 __label__EYE 0.161157 __label__WRIST 0.121435"
"185","Interaction - All proper welding PPE being worn while welding hangers for pipe installation. Working from a ladder at height requires fall protection.","__label__EYE 0.854013 __label__BACK 0.0421551 __label__HEAD 0.0138908"
"186","Audit - of 3ft. rule at electrical panels. Areas - 860 Safety Breakers blocked by boots, breakers blocked by dolly. Straightened. Star Trailer - Breakers blocked by chair - corrected. 860 Wet - Good condition 920 Electrical - good condition Machinist area - Good condition Mobile maintenance shop Good condition Storage connexs - good condition Powerhouse - good condition 400 & 800 WTP - Good condition Mill pumps, motors, MCC's - Good condition Maintenance shop new - blocked breaker box - fixed Outside tool connexs two oxy acet torches blocking panels - fixed Panel on Lube connex - panel blocked saw horses - fixed. Cleaner bldg - good condition 920 Warehouse - Good condition Auxiliary buildings - good condtion","__label__BODY 0.364131 __label__UNKNOWN 0.312338 __label__MULTIPLE 0.107434"
"187","Audit/Observation All personnel had appropriate PPE, were knowledgeable regarding the work being done, and had a plan on how to approach the job.","__label__UNKNOWN 0.651017 __label__BACK 0.101134 __label__FINGER 0.0414695"
"188","Interaction - Worker was cutting with a grinder and wearing a face shield while approximately 9 feet in the air. Worker was grinding with other workers in the area and NO fall protection, or flagging up to prevent workers from entering the area.","__label__UNKNOWN 0.23897 __label__EYE 0.151856 __label__HEAD 0.123331"
"189","Audit - Fuel tanks Fuel tanks missing shut off valves at source: FT 203 @ 23 pump station no shut off valve. Ft 16 Safety building - no valve at source at heater FT 03 860 Assay lab - No valve at source, at boiler FT 26 860 core shed - No valve at source at heater FT 17 920 warehouse - No valve at source at heater FT 93 Hawk Inlet boiler room - no valve at source FT 21 @ HI fuel farm Valve at source but missing a handle to shut it off. FT 23 HI truck wash, No valve at source at heater","__label__UNKNOWN 0.857181 __label__FINGER 0.0224851 __label__MULTIPLE 0.0185197"
"190","Audit-All personnel wearing PFDs. Good radio communication with fuel barge.","__label__UNKNOWN 0.566301 __label__BODY 0.295216 __label__EYE 0.094676"
"191","Audit","__label__UNKNOWN 0.833187 __label__MULTIPLE 0.141416 __label__BACK 0.0149755"
"192","Audit","__label__UNKNOWN 0.833187 __label__MULTIPLE 0.141416 __label__BACK 0.0149755"
"193","Audit","__label__UNKNOWN 0.833187 __label__MULTIPLE 0.141416 __label__BACK 0.0149755"
"194","Audit","__label__UNKNOWN 0.833187 __label__MULTIPLE 0.141416 __label__BACK 0.0149755"
"195","Audit","__label__UNKNOWN 0.833187 __label__MULTIPLE 0.141416 __label__BACK 0.0149755"
"196","Audit","__label__UNKNOWN 0.833187 __label__MULTIPLE 0.141416 __label__BACK 0.0149755"
"197","Interaction- worker was grinding on pipe to remove rust and residue at tank farm. Worker had face shield while grinding.","__label__EYE 0.746011 __label__FACE 0.214451 __label__HEAD 0.00962631"
"198","Interaction - Using handrails while climbing stairs. All safety systems in place when opening mixer door.","__label__BACK 0.420901 __label__SHOULDER 0.257749 __label__MULTIPLE 0.090562"
"199","Interaction - Employees remained behind guarding for drill rods, although the guard only extended about 4.5' above floor level exposing employees to moving machine parts hazard.","__label__SHOULDER 0.127432 __label__HEAD 0.118321 __label__MULTIPLE 0.0840245"
"200","Interaction - All PPE present at lower drill. The drive shaft between the engine and hydraulic motor was exposed to contact. Needs wider guard.","__label__UNKNOWN 0.53822 __label__BACK 0.193718 __label__MULTIPLE 0.0733657"
"201","Interaction - Rescue harness operation, tightening, attachment points","__label__MULTIPLE 0.195363 __label__CHEST 0.147436 __label__TRUNK 0.131784"
"202","Interaction - Discussed mechanical advantage systems as well as built a tandem track line with lowering system.","__label__UNKNOWN 0.713589 __label__MULTIPLE 0.0748431 __label__BACK 0.0487101"
"203","Interaction: Checked manifest, pre-shift and operator for fatigue.","__label__MULTIPLE 0.425281 __label__TRUNK 0.253106 __label__BACK 0.156497"
"204","Interaction: Drill steel was standing unsecured on top of platform that sat above access to float cell tanks.","__label__HEAD 0.189031 __label__BACK 0.166535 __label__MULTIPLE 0.130129"
"205","Interaction: Found ladders set up on pipe that were not leveled and tied off with rope to the pipe. One had the ladder run under pipe and it looked like the worker had to climb over the pipe to access the job. Another was set up on uneven, unleveled ground and not tied off.","__label__UNKNOWN 0.0858277 __label__MULTIPLE 0.0810665 __label__FINGER 0.0802941"
"206","Interaction: Talked to Mike Roberts about the trailer that carries the emulsion underground and how the workers access the tow hitch to hook shackle to so it can be towed. Workers step on hub of tire, or step on wheel chock, and climb up to hook up to bucket so tanker can be towed.","__label__KNEE 0.118856 __label__BACK 0.1133 __label__MULTIPLE 0.0876949"
"207","Interaction: Stopped truck to check ladders, cords and pre-shift as workers headed to job.","__label__MULTIPLE 0.46315 __label__BACK 0.0888716 __label__KNEE 0.0886221"
"208","Interaction: Talked to maintenance intern and mechanic tutoring the worker about hazards as well as coaching opportunities for the intern while wire feeding the box.","__label__FINGER 0.162902 __label__BODY 0.141232 __label__MULTIPLE 0.134503"
"209","Interaction: Area inspections performed before work taking into consideration hazards of area, and dynamic environment including frequent semi truck trailers loading tails in the area.","__label__UNKNOWN 0.231149 __label__BODY 0.178178 __label__MULTIPLE 0.120452"
"210","Interaction: Taking stages of boom off telescoping boom, cribbing of boom to support suspended load. Use blocking to get height necessary to support boom. Workers used rigging and a crane to hold the basket in air.","__label__MULTIPLE 0.209 __label__CHEST 0.144509 __label__HEAD 0.0509435"
"211","Interaction: Worker for the second day in a row was not wearing seat belt while sitting in front bus seat.","__label__BACK 0.801157 __label__HIP 0.0350723 __label__KNEE 0.028503"
"212","Interaction: Loader operator was cleaning ore pad road, then backing down hill at good speed with bucket at window height the whole way down the hill.","__label__MULTIPLE 0.433057 __label__NECK 0.195693 __label__BACK 0.108768"
"213","Interaction: Supervisor talked about how hard it is to get weld protection up in the bed of a truck, and that people should have common sense that it is a work area where there are numerous jobs going on at once and that if a person doesn't know that he could be exposed to flashing light.","__label__BACK 0.223721 __label__MULTIPLE 0.21021 __label__HEAD 0.0729746"
"214","Interaction: Worker was curious if passenger on bus was to big for seat belt to fit and if the worker was actually wearing a seat belt? Worker was covering with lunch box and clothing so it was hard to tell if he was actually wearing the belt.","__label__BACK 0.137633 __label__HIP 0.113038 __label__SHOULDER 0.0948009"
"215","Interaction: Supervisor asked for side shields for an intern worker so that he had the proper protection.","__label__CHEST 0.162882 __label__BACK 0.141068 __label__BODY 0.0950122"
"216","Interaction: Worker was welding with wire feed, and had sized up job so that flash curtain was not needed. He figured at some point the flash would be visible to the area workers and that someone would let him know.","__label__EYE 0.48094 __label__MULTIPLE 0.080638 __label__FACE 0.0612083"
"217","Interaction: Two electricians were at the Mine Switch gear while the panels on the doors to the buckets were off. There was red tape with a sign and a guard posted about 15 to 20 feet from the switch gear door and no one was allowed to be in the room at that time unless they had clearance to be in the room.","__label__UNKNOWN 0.873152 __label__MULTIPLE 0.0223557 __label__BODY 0.016164"
"218","Interaction: Worked with electricians to figure out why fire warning alarm was going off in building.","__label__UNKNOWN 0.934774 __label__BACK 0.027368 __label__MULTIPLE 0.00960338"
"219","Interaction: Worker was welding cyclone mounts on I beam in cleaner building.","__label__EYE 0.645287 __label__BACK 0.0876586 __label__FINGER 0.0453725"
"220","Interaction: TW talked to warehouse worker about off gassing in area to see if there was noticeable acetylene lingering in the air.","__label__CHEST 0.147962 __label__HIP 0.134117 __label__UNKNOWN 0.123767"
